orcid,username,ufirstname,ulastname,uemail,ucity,ucountry,uinstitution,udepartment,phone1,cid,cfullname,cstartdate,cenddate,cshortname,cfacultad,course_uri
0000-0000-0000-0417,user417,NombreUsuario417,Apellido417,user417@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729417,483,curso #417,1596547143,1603547143,curso#417,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=483
0000-0000-0000-0418,user418,NombreUsuario418,Apellido418,user418@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729418,484,curso #418,1596547143,1603547143,curso#418,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=484
0000-0000-0000-0419,user419,NombreUsuario419,Apellido419,user419@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729419,485,curso #419,1596547143,1603547143,curso#419,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=485
0000-0000-0000-0420,user420,NombreUsuario420,Apellido420,user420@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729420,486,curso #420,1596547144,1603547144,curso#420,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=486
0000-0000-0000-0421,user421,NombreUsuario421,Apellido421,user421@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729421,487,curso #421,1596547144,1603547144,curso#421,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=487
0000-0000-0000-0422,user422,NombreUsuario422,Apellido422,user422@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729422,488,curso #422,1596547144,1603547144,curso#422,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=488
0000-0000-0000-0423,user423,NombreUsuario423,Apellido423,user423@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729423,489,curso #423,1596547145,1603547145,curso#423,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=489
0000-0000-0000-0424,user424,NombreUsuario424,Apellido424,user424@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729424,490,curso #424,1596547145,1603547145,curso#424,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=490
0000-0000-0000-0425,user425,NombreUsuario425,Apellido425,user425@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729425,491,curso #425,1596547145,1603547145,curso#425,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=491
0000-0000-0000-0426,user426,NombreUsuario426,Apellido426,user426@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729426,492,curso #426,1596547145,1603547145,curso#426,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=492
0000-0000-0000-0427,user427,NombreUsuario427,Apellido427,user427@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729427,493,curso #427,1596547146,1603547146,curso#427,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=493
0000-0000-0000-0428,user428,NombreUsuario428,Apellido428,user428@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729428,494,curso #428,1596547146,1603547146,curso#428,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=494
0000-0000-0000-0429,user429,NombreUsuario429,Apellido429,user429@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729429,495,curso #429,1596547146,1603547146,curso#429,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=495
0000-0000-0000-0430,user430,NombreUsuario430,Apellido430,user430@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729430,496,curso #430,1596547147,1603547147,curso#430,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=496
0000-0000-0000-0431,user431,NombreUsuario431,Apellido431,user431@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729431,497,curso #431,1596547147,1603547147,curso#431,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=497
0000-0000-0000-0432,user432,NombreUsuario432,Apellido432,user432@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729432,498,curso #432,1596547147,1603547147,curso#432,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=498
0000-0000-0000-0433,user433,NombreUsuario433,Apellido433,user433@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729433,499,curso #433,1596547148,1603547148,curso#433,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=499
0000-0000-0000-0434,user434,NombreUsuario434,Apellido434,user434@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729434,500,curso #434,1596547148,1603547148,curso#434,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=500
0000-0000-0000-0435,user435,NombreUsuario435,Apellido435,user435@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729435,501,curso #435,1596547149,1603547149,curso#435,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=501
0000-0000-0000-0436,user436,NombreUsuario436,Apellido436,user436@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729436,502,curso #436,1596547149,1603547149,curso#436,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=502
0000-0000-0000-0437,user437,NombreUsuario437,Apellido437,user437@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729437,503,curso #437,1596547149,1603547149,curso#437,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=503
0000-0000-0000-0438,user438,NombreUsuario438,Apellido438,user438@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729438,504,curso #438,1596547150,1603547150,curso#438,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=504
0000-0000-0000-0439,user439,NombreUsuario439,Apellido439,user439@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729439,505,curso #439,1596547150,1603547150,curso#439,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=505
0000-0000-0000-0440,user440,NombreUsuario440,Apellido440,user440@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729440,506,curso #440,1596547150,1603547150,curso#440,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=506
0000-0000-0000-0441,user441,NombreUsuario441,Apellido441,user441@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729441,507,curso #441,1596547151,1603547151,curso#441,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=507
0000-0000-0000-0442,user442,NombreUsuario442,Apellido442,user442@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729442,508,curso #442,1596547151,1603547151,curso#442,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=508
0000-0000-0000-0443,user443,NombreUsuario443,Apellido443,user443@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729443,509,curso #443,1596547151,1603547151,curso#443,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=509
0000-0000-0000-0444,user444,NombreUsuario444,Apellido444,user444@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729444,510,curso #444,1596547152,1603547152,curso#444,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=510
0000-0000-0000-0445,user445,NombreUsuario445,Apellido445,user445@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729445,511,curso #445,1596547152,1603547152,curso#445,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=511
0000-0000-0000-0446,user446,NombreUsuario446,Apellido446,user446@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729446,512,curso #446,1596547152,1603547152,curso#446,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=512
0000-0000-0000-0447,user447,NombreUsuario447,Apellido447,user447@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729447,513,curso #447,1596547153,1603547153,curso#447,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=513
0000-0000-0000-0448,user448,NombreUsuario448,Apellido448,user448@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729448,514,curso #448,1596547153,1603547153,curso#448,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=514
0000-0000-0000-0449,user449,NombreUsuario449,Apellido449,user449@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729449,515,curso #449,1596547153,1603547153,curso#449,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=515
0000-0000-0000-0450,user450,NombreUsuario450,Apellido450,user450@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729450,516,curso #450,1596547154,1603547154,curso#450,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=516
0000-0000-0000-0451,user451,NombreUsuario451,Apellido451,user451@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729451,517,curso #451,1596547154,1603547154,curso#451,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=517
0000-0000-0000-0452,user452,NombreUsuario452,Apellido452,user452@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729452,518,curso #452,1596547155,1603547155,curso#452,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=518
0000-0000-0000-0453,user453,NombreUsuario453,Apellido453,user453@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729453,519,curso #453,1596547155,1603547155,curso#453,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=519
0000-0000-0000-0454,user454,NombreUsuario454,Apellido454,user454@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729454,520,curso #454,1596547155,1603547155,curso#454,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=520
0000-0000-0000-0455,user455,NombreUsuario455,Apellido455,user455@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729455,521,curso #455,1596547156,1603547156,curso#455,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=521
0000-0000-0000-0456,user456,NombreUsuario456,Apellido456,user456@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729456,522,curso #456,1596547156,1603547156,curso#456,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=522
0000-0000-0000-0457,user457,NombreUsuario457,Apellido457,user457@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729457,523,curso #457,1596547157,1603547157,curso#457,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=523
0000-0000-0000-0458,user458,NombreUsuario458,Apellido458,user458@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729458,524,curso #458,1596547157,1603547157,curso#458,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=524
0000-0000-0000-0459,user459,NombreUsuario459,Apellido459,user459@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729459,525,curso #459,1596547157,1603547157,curso#459,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=525
0000-0000-0000-0460,user460,NombreUsuario460,Apellido460,user460@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729460,526,curso #460,1596547158,1603547158,curso#460,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=526
0000-0000-0000-0461,user461,NombreUsuario461,Apellido461,user461@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729461,527,curso #461,1596547158,1603547158,curso#461,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=527
0000-0000-0000-0462,user462,NombreUsuario462,Apellido462,user462@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729462,528,curso #462,1596547158,1603547158,curso#462,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=528
0000-0000-0000-0463,user463,NombreUsuario463,Apellido463,user463@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729463,529,curso #463,1596547159,1603547159,curso#463,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=529
0000-0000-0000-0464,user464,NombreUsuario464,Apellido464,user464@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729464,530,curso #464,1596547159,1603547159,curso#464,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=530
0000-0000-0000-0465,user465,NombreUsuario465,Apellido465,user465@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729465,531,curso #465,1596547159,1603547159,curso#465,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=531
0000-0000-0000-0466,user466,NombreUsuario466,Apellido466,user466@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729466,532,curso #466,1596547160,1603547160,curso#466,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=532
0000-0000-0000-0467,user467,NombreUsuario467,Apellido467,user467@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729467,533,curso #467,1596547160,1603547160,curso#467,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=533
0000-0000-0000-0468,user468,NombreUsuario468,Apellido468,user468@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729468,534,curso #468,1596547161,1603547161,curso#468,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=534
0000-0000-0000-0469,user469,NombreUsuario469,Apellido469,user469@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729469,535,curso #469,1596547161,1603547161,curso#469,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=535
0000-0000-0000-0470,user470,NombreUsuario470,Apellido470,user470@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729470,536,curso #470,1596547161,1603547161,curso#470,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=536
0000-0000-0000-0471,user471,NombreUsuario471,Apellido471,user471@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729471,537,curso #471,1596547162,1603547162,curso#471,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=537
0000-0000-0000-0472,user472,NombreUsuario472,Apellido472,user472@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729472,538,curso #472,1596547162,1603547162,curso#472,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=538
0000-0000-0000-0473,user473,NombreUsuario473,Apellido473,user473@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729473,539,curso #473,1596547162,1603547162,curso#473,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=539
0000-0000-0000-0474,user474,NombreUsuario474,Apellido474,user474@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729474,540,curso #474,1596547163,1603547163,curso#474,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=540
0000-0000-0000-0475,user475,NombreUsuario475,Apellido475,user475@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729475,541,curso #475,1596547163,1603547163,curso#475,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=541
0000-0000-0000-0476,user476,NombreUsuario476,Apellido476,user476@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729476,542,curso #476,1596547163,1603547163,curso#476,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=542
0000-0000-0000-0477,user477,NombreUsuario477,Apellido477,user477@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729477,543,curso #477,1596547163,1603547163,curso#477,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=543
0000-0000-0000-0478,user478,NombreUsuario478,Apellido478,user478@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729478,544,curso #478,1596547164,1603547164,curso#478,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=544
0000-0000-0000-0479,user479,NombreUsuario479,Apellido479,user479@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729479,545,curso #479,1596547164,1603547164,curso#479,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=545
0000-0000-0000-0480,user480,NombreUsuario480,Apellido480,user480@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729480,546,curso #480,1596547164,1603547164,curso#480,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=546
0000-0000-0000-0481,user481,NombreUsuario481,Apellido481,user481@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729481,547,curso #481,1596547165,1603547165,curso#481,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=547
0000-0000-0000-0482,user482,NombreUsuario482,Apellido482,user482@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729482,548,curso #482,1596547165,1603547165,curso#482,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=548
0000-0000-0000-0483,user483,NombreUsuario483,Apellido483,user483@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729483,549,curso #483,1596547165,1603547165,curso#483,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=549
0000-0000-0000-0484,user484,NombreUsuario484,Apellido484,user484@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729484,550,curso #484,1596547166,1603547166,curso#484,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=550
0000-0000-0000-0485,user485,NombreUsuario485,Apellido485,user485@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729485,551,curso #485,1596547166,1603547166,curso#485,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=551
0000-0000-0000-0486,user486,NombreUsuario486,Apellido486,user486@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729486,552,curso #486,1596547166,1603547166,curso#486,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=552
0000-0000-0000-0487,user487,NombreUsuario487,Apellido487,user487@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729487,553,curso #487,1596547167,1603547167,curso#487,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=553
0000-0000-0000-0488,user488,NombreUsuario488,Apellido488,user488@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729488,554,curso #488,1596547167,1603547167,curso#488,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=554
0000-0000-0000-0489,user489,NombreUsuario489,Apellido489,user489@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729489,555,curso #489,1596547167,1603547167,curso#489,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=555
0000-0000-0000-0490,user490,NombreUsuario490,Apellido490,user490@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729490,556,curso #490,1596547168,1603547168,curso#490,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=556
0000-0000-0000-0491,user491,NombreUsuario491,Apellido491,user491@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729491,557,curso #491,1596547168,1603547168,curso#491,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=557
0000-0000-0000-0492,user492,NombreUsuario492,Apellido492,user492@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729492,558,curso #492,1596547169,1603547169,curso#492,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=558
0000-0000-0000-0493,user493,NombreUsuario493,Apellido493,user493@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729493,559,curso #493,1596547169,1603547169,curso#493,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=559
0000-0000-0000-0494,user494,NombreUsuario494,Apellido494,user494@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729494,560,curso #494,1596547169,1603547169,curso#494,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=560
0000-0000-0000-0495,user495,NombreUsuario495,Apellido495,user495@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729495,561,curso #495,1596547170,1603547170,curso#495,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=561
0000-0000-0000-0496,user496,NombreUsuario496,Apellido496,user496@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729496,562,curso #496,1596547170,1603547170,curso#496,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=562
0000-0000-0000-0497,user497,NombreUsuario497,Apellido497,user497@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729497,563,curso #497,1596547170,1603547170,curso#497,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=563
0000-0000-0000-0498,user498,NombreUsuario498,Apellido498,user498@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729498,564,curso #498,1596547171,1603547171,curso#498,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=564
0000-0000-0000-0499,user499,NombreUsuario499,Apellido499,user499@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729499,565,curso #499,1596547171,1603547171,curso#499,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=565
0000-0000-0000-0500,user500,NombreUsuario500,Apellido500,user500@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729500,566,curso #500,1596547171,1603547171,curso#500,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=566
0000-0000-0000-0501,user501,NombreUsuario501,Apellido501,user501@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729501,567,curso #501,1596547172,1603547172,curso#501,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=567
0000-0000-0000-0502,user502,NombreUsuario502,Apellido502,user502@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729502,568,curso #502,1596547172,1603547172,curso#502,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=568
0000-0000-0000-0503,user503,NombreUsuario503,Apellido503,user503@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729503,569,curso #503,1596547173,1603547173,curso#503,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=569
0000-0000-0000-0504,user504,NombreUsuario504,Apellido504,user504@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729504,570,curso #504,1596547173,1603547173,curso#504,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=570
0000-0000-0000-0505,user505,NombreUsuario505,Apellido505,user505@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729505,571,curso #505,1596547173,1603547173,curso#505,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=571
0000-0000-0000-0506,user506,NombreUsuario506,Apellido506,user506@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729506,572,curso #506,1596547174,1603547174,curso#506,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=572
0000-0000-0000-0507,user507,NombreUsuario507,Apellido507,user507@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729507,573,curso #507,1596547174,1603547174,curso#507,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=573
0000-0000-0000-0508,user508,NombreUsuario508,Apellido508,user508@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729508,574,curso #508,1596547174,1603547174,curso#508,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=574
0000-0000-0000-0509,user509,NombreUsuario509,Apellido509,user509@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729509,575,curso #509,1596547175,1603547175,curso#509,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=575
0000-0000-0000-0510,user510,NombreUsuario510,Apellido510,user510@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729510,576,curso #510,1596547175,1603547175,curso#510,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=576
0000-0000-0000-0511,user511,NombreUsuario511,Apellido511,user511@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729511,577,curso #511,1596547175,1603547175,curso#511,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=577
0000-0000-0000-0512,user512,NombreUsuario512,Apellido512,user512@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729512,578,curso #512,1596547176,1603547176,curso#512,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=578
0000-0000-0000-0513,user513,NombreUsuario513,Apellido513,user513@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729513,579,curso #513,1596547176,1603547176,curso#513,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=579
0000-0000-0000-0514,user514,NombreUsuario514,Apellido514,user514@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729514,580,curso #514,1596547176,1603547176,curso#514,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=580
0000-0000-0000-0515,user515,NombreUsuario515,Apellido515,user515@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729515,581,curso #515,1596547177,1603547177,curso#515,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=581
0000-0000-0000-0516,user516,NombreUsuario516,Apellido516,user516@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729516,582,curso #516,1596547177,1603547177,curso#516,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=582
0000-0000-0000-0517,user517,NombreUsuario517,Apellido517,user517@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729517,583,curso #517,1596547177,1603547177,curso#517,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=583
0000-0000-0000-0518,user518,NombreUsuario518,Apellido518,user518@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729518,584,curso #518,1596547178,1603547178,curso#518,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=584
0000-0000-0000-0519,user519,NombreUsuario519,Apellido519,user519@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729519,585,curso #519,1596547178,1603547178,curso#519,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=585
0000-0000-0000-0520,user520,NombreUsuario520,Apellido520,user520@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729520,586,curso #520,1596547178,1603547178,curso#520,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=586
0000-0000-0000-0521,user521,NombreUsuario521,Apellido521,user521@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729521,587,curso #521,1596547179,1603547179,curso#521,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=587
0000-0000-0000-0522,user522,NombreUsuario522,Apellido522,user522@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729522,588,curso #522,1596547179,1603547179,curso#522,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=588
0000-0000-0000-0523,user523,NombreUsuario523,Apellido523,user523@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729523,589,curso #523,1596547179,1603547179,curso#523,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=589
0000-0000-0000-0524,user524,NombreUsuario524,Apellido524,user524@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729524,590,curso #524,1596547180,1603547180,curso#524,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=590
0000-0000-0000-0525,user525,NombreUsuario525,Apellido525,user525@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,5809729525,591,curso #525,1596547180,1603547180,curso#525,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=591
